id,created_at,text,time_zone,place,coordinates,location,user_name,screen_name,retweet_count,favourite_count
1163963719006638080,2019-08-20 23:59:10,b'Vaksinasi berguna untuk menjaga kesehatan kucing dan menghindari dari berbagai penyakit.',,,,b'Diataskepalamu^^',b'Info Kucing',b'InfoMeong',0,0
1163959034178723840,2019-08-20 23:40:33,b'@ayoubyeasthak @anasbakri3 @_ixirnad @thepitparis_ Ya.tahu. Tp Vaksin sebagai pencegah. Paracetamol a.k.a ubat sebagai merawat. Mencegah lebih baik dari merawat. \nhttps://t.co/Mqlsl7KBnf',,,,b'malaysia',b'fafa',b'Fafafififufu95',0,0
1163957114970267648,2019-08-20 23:32:56,b'Berita Kuba menemukan vaksin kanker paru gak masuk di media mainstream.\n\nSemoga papi @jokowi juga impor vaksin ini. \xf0\x9f\x99\x8f',,,,b'',b'majoranafermion',b'lindabaroes',0,0
1163953306000973824,2019-08-20 23:17:48,b'Yes vaksin ni agenda yahudi bagi orang islam. Sebab tu kau taknak follow sebab kau pun sa........ \xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84\xf0\x9f\x99\x84 https://t.co/dLXrA8QTLe',,,,b'',b'hiho',b'surayastuff',0,0
1163952961875091456,2019-08-20 23:16:25,b'Nah utk anti vaksin.. Mohon jgn jdi pemalas membaca ya.. Kalau rase benak bi mohon rajin2 google translate.. Tak semua bnde nak kena suap jolok masuk tekak kau..  Kalau dah artikel pnjg berjela tak larat nak baca.. Ni org dah siap buat ala2 komik dah.. Jgn jdi pemalas ja.. https://t.co/uW6gQrYgWT',,,,b'',b'Wednesday Addams',b'filzahjasmin',0,0
1163950366351753218,2019-08-20 23:06:07,b'@tanya2rl Dampingi jangan tinggali\nApa baru ketauan pas pemeriksaan pra nikah?  Atau emang udah dari lama? Tetep dampingin kalo kamu sayang sama dia. Kalo kamu bener2 takut kamu bisa vaksin hepatitis juga',,,,b'ca/pa',b'mii',b'winterdaisys',0,0
1163948975822499845,2019-08-20 23:00:35,"b'@EsjayBhaSaya @nxbilxrxsh Jadi mak bapak tu jgn bodoh, sbb masing2 dah di vaksin. Bila tang anak, kau xnak vaksin. Anak kau jadi mangsa. Yg sakit anak kau. Kau tak rasa semua tu. Stakat makanan sunnah je xleh. Dlu dgn skrg penyakit xsama. Dah mcm2 versi. Hmm tah la. Payah ckp dgn org bodoh ni..'",,,,b'Putrajaya',b'| amiwaaahhh |',b'WanieBen',0,0
1163944056847626240,2019-08-20 22:41:02,"b'33 Remaja Putri di Sangatta Dapat Vaksin HPV Gratis, Disuntikkan Langsung dr Boyke - Tribun Kaltim https://t.co/JCjXj2GTAb'",,,,b'Kutai Timur - Indonesia',b'Kota Sangatta',b'KotaSangatta',0,0
1163941096939913216,2019-08-20 22:29:17,b'@ssyhira17 kucing pun aku g cucuk vaksin. hahahahaa',,,,"b'Alor Star, Kedah'",b'izzati',b'nurizzatiridzua',0,0
1163920827395395584,2019-08-20 21:08:44,b'Pinter basic sex education lah pinter harus rutin tes hiv vaksin hpv dan lain-lain dong punya lifestyle ewita heboh masa kesehatan memew sama kontol sendiri aja bego. Siapa followers Nat yang bego? \xf0\x9f\x98\x8f',,,,b'Singapore',b'Nat.',b'AdlerNatalie27',0,0
