1165653688389533697,2019-08-25 15:54:30,b'@KRH94SULLI @KRH01IN Nah ini nih\nYf nemenin imunisasi',,,,b'#KRHFamily  \xe2\x99\xa1',b'Wendy \xe2\x98\x83\xef\xb8\x8f',b'KRH94WENDY',0,0
1165652986950868992,2019-08-25 15:51:43,"b'Suntik scabiesnya 40 rb bu, kalau vaksin 160rb \nJangan pikirkan jumlah uangnya yang penting kucing kita sehat.. \xe2\x80\x94 merasa termotivasi'",,,,b'',b'retnokusumo',b'retnoku02893887',0,0
1165650635825401856,2019-08-25 15:42:22,"b'Ugut la bijak sikit. \nUgut mengalahkan budak tak vaksin. \nBudak tak vaksin pun nak gi sekolah. \nSebab tulisan khat je,\nTak nak pi sekolah. \nHahaha\n\xf0\x9f\x98\x82 https://t.co/GnScaxQR15'",,,,b'Sitiawan/Manjung/Lumut',b'\xc3\x83HD\xc3\x8f',b'sirkulangka17',0,0
1165650453931020288,2019-08-25 15:41:39,b'@yunartowijaya Jd inget dokter vaksin yg kalah taruhan..  \xf0\x9f\x98\x80\xf0\x9f\xa4\xa3',,,,b'di bedug mesjid',b'MuslimGarisLucu',b'muslimGL',0,1
1165648570466222081,2019-08-25 15:34:10,"b'@AREAMFS Gatau nder, cp gue tiap hari kasih imunisasi biar sehat'",,,,b'\xe1\xb4\xb5 \xe1\xb4\xb8\xe1\xb4\xbc\xe1\xb5\x9b\xe1\xb4\xb1 \xe1\xb4\xb4\xe1\xb4\xb5\xe1\xb4\xb9\xe2\x86\x92',b'9th. ona\xe1\xb4\xae\xe1\xb4\xb8\xe1\xb4\xb3',b'rapunzrel',0,0
1165648068638695425,2019-08-25 15:32:10,b'@DimasVamp imunisasi anak gajah a ?\xf0\x9f\x98\xa0',,,,b'+62',b'Nanda.',b'lstriable',0,0
1165646785726955520,2019-08-25 15:27:05,"b'@Annisa_Yacob @MariawanDede @LisaAmartatara3 @ChangeOrg_ID Emang gitu si emak2 ini, ketauan kasus vaksin, akun ny ngilang, ini juga abis ngilang baru nongol lagi \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c'",,,,"b'Jawa Barat, Indonesia'",b'Adit 07',b'AditiaP19527510',0,1
1165644980251054080,2019-08-25 15:19:54,"b'@lstriable Opone yang,koyok bayek mau imunisasi gini'",,,,b'',b'Badluck',b'DimasVamp',0,0
1165642861963968512,2019-08-25 15:11:29,b'Anak tumgi + abis vaksin MR + flu = aku kuaaaaaaaaaaat\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb',,,,b'',b'Nena Apriliana',b'nenapriliana',0,0
1165642639166722051,2019-08-25 15:10:36,"b'Haaa takyah laa g skolah. G join geng flat-earth, anti-vaksin etc. https://t.co/VCqlQlgPqN'",,"Place(_api=<tweepy.api.API object at 0x000001CDC1520A58>, id='120c5b2633257d77', url='https://api.twitter.com/1.1/geo/id/120c5b2633257d77.json', place_type='city', name='Setul', full_name='Setul, Negeri Sembilan', country_code='MY', country='Malaysia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001CDC1520A58>, type='Polygon', coordinates=[[[101.7512312, 2.770626], [101.958834, 2.770626], [101.958834, 2.8704277], [101.7512312, 2.8704277]]]), attributes={})",,b'',b'\xd8\xa7\xd9\x85\xd9\x8a\xd8\xb1\xd9\x87 \xd9\x86\xd9\x88\xd8\xb1\xd8\xa7\xd9\x84\xd8\xb9\xd9\x8a\xd9\x86',b'aynabubakar',0,0
